id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
378890,TX,INDIVIDUAL,10+ years,United States Army,C,MORTGAGE,09-02-2021,10-03-2021,09-12-2021,Fully Paid,09-01-2022,404635,major purchase,C2, 36 months,Verified,155867.0,0.0821,268.95,0.1284,8000,41,8632
542343,CA,INDIVIDUAL,10+ years,The Gas Company,B,MORTGAGE,10-07-2021,13-07-2021,13-07-2021,Fully Paid,13-08-2021,699902,Debt consolidation,B5, 36 months,Verified,75000.0,0.0557,182.32,0.1186,5500,22,6564
1056080,CA,INDIVIDUAL,6 years,Deanfrans systems,B,RENT,11-12-2021,14-01-2021,14-01-2021,Fully Paid,14-02-2021,1287653,Debt consolidation,B2, 36 months,Source Verified,22000.0,0.0807,156.36,0.1065,4800,15,5541
520827,FL,INDIVIDUAL,10+ years,Broward General Medical Center,D,MORTGAGE,10-05-2021,16-05-2021,12-03-2021,Charged Off,12-04-2021,673363,Debt consolidation,D2, 60 months,Verified,70000.0,0.1554,475.38,0.1496,20000,36,9982
844298,TX,INDIVIDUAL,8 years,Army,C,RENT,11-08-2021,13-09-2021,13-04-2021,Charged Off,13-05-2021,1055209,car,C2, 36 months,Verified,45000.0,0.2157,152.69,0.1349,4500,19,3194
601438,CA,INDIVIDUAL,4 years,Vanguard Capital,A,RENT,10-10-2021,11-02-2021,11-02-2021,Fully Paid,11-03-2021,771764,Debt consolidation,A2, 36 months,Not Verified,31200.0,0.1132,57.63,0.0579,1900,22,1918
459868,NJ,INDIVIDUAL,10+ years,Phh Mortgage,B,RENT,09-11-2021,13-10-2021,11-02-2021,Fully Paid,11-03-2021,573554,Debt consolidation,B3, 36 months,Not Verified,80000.0,0.0889,198.81,0.1183,6000,41,6366
949901,UT,INDIVIDUAL,5 years,transportation security administration,A,RENT,11-10-2021,16-05-2021,13-11-2021,Fully Paid,13-12-2021,1186125,car,A5, 36 months,Source Verified,34400.0,0.0617,133.37,0.089,4200,16,4738
403018,MA,INDIVIDUAL,3 years,Autonomy,A,MORTGAGE,09-05-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,448106,home improvement,A2, 36 months,Source Verified,60000.0,0.005,112.29,0.0768,3600,19,4042
502211,TX,INDIVIDUAL,6 years,Merck,B,MORTGAGE,10-04-2021,15-08-2021,13-04-2021,Fully Paid,13-05-2021,645754,Debt consolidation,B2, 36 months,Verified,90000.0,0.0715,178.12,0.1025,5500,37,6413
643662,TX,INDIVIDUAL,10+ years,AT&T,B,MORTGAGE,11-01-2021,14-01-2021,14-01-2021,Fully Paid,14-02-2021,823733,car,B4, 60 months,Verified,70200.0,0.0299,224.11,0.0999,10550,20,12926
306768,CA,INDIVIDUAL,< 1 year,Self Employed,C,MORTGAGE,08-04-2021,11-03-2021,11-04-2021,Fully Paid,11-05-2021,306759,other,C1, 36 months,Not Verified,120000.0,0.1507,141.66,0.1103,23000,30,5100
713383,IL,INDIVIDUAL,4 years,Mariani Landscape,B,RENT,11-03-2021,16-04-2021,16-04-2021,Fully Paid,16-05-2021,906600,car,B3, 60 months,Not Verified,45168.0,0.2107,94.3,0.1037,4400,13,5657
600850,CA,INDIVIDUAL,4 years,Rain Bird,A,RENT,10-10-2021,11-12-2021,11-12-2021,Fully Paid,11-01-2022,771104,credit card,A5, 60 months,Verified,130000.0,0.0733,221.3,0.0691,11200,63,11966
1038602,GA,INDIVIDUAL,2 years,Department of the Treasury,B,RENT,11-11-2021,12-08-2021,12-07-2021,Charged Off,12-08-2021,1268311,Debt consolidation,B2, 36 months,Not Verified,36475.0,0.2106,228.02,0.1065,7000,24,1097
1040564,VA,INDIVIDUAL,< 1 year,Aviation Institute of Maintenance,A,RENT,11-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,1270540,home improvement,A5, 36 months,Not Verified,27120.0,0.1956,269.91,0.089,8500,24,9716
554117,MN,INDIVIDUAL,10+ years,"SRF Consulting Group, Inc.",A,MORTGAGE,10-07-2021,13-08-2021,13-08-2021,Fully Paid,13-09-2021,713864,Debt consolidation,A5, 36 months,Not Verified,49000.0,0.1582,437.94,0.0788,14000,38,15766
885731,MA,INDIVIDUAL,4 years,"Camp, Dresser & Mckee",A,MORTGAGE,11-09-2021,16-04-2021,14-04-2021,Fully Paid,14-05-2021,1101442,Debt consolidation,A5, 36 months,Source Verified,70000.0,0.2018,159.56,0.089,5025,14,5720
